B00, 1
B08, Trade, 258764.550, 198, B08, S04, 1
B08, Trade, 258773.383, 200, B08, S02, 1
B08, Trade, 258788.383, 201, B08, S02, 1
B08, Trade, 258814.483, 201, B08, S03, 1
B08, Trade, 258824.517, 197, B08, S02, 1
B08, Trade, 258838.117, 202, B08, S03, 1
B08, Trade, 258857.133, 201, B08, S04, 1
B08, Trade, 258861.550, 201, B08, S03, 1
B08, Trade, 258869.800, 200, B08, S05, 1
B08, Trade, 258901.467, 201, B08, S03, 1
B08, Trade, 258910.733, 200, B08, S02, 1
B08, Trade, 258928.917, 202, B08, S02, 1
B08, Trade, 258936.850, 202, B08, S02, 1
B08, Trade, 258949.917, 200, B08, S02, 1
B08, Trade, 258970.033, 201, B08, S02, 1
B08, Trade, 258980.783, 201, B08, S05, 1
B08, Trade, 258998.567, 200, B08, S04, 1
B08, Trade, 259015.550, 202, B08, S04, 1
B08, Trade, 259023.367, 201, B08, S05, 1
B08, Trade, 259075.183, 202, B08, S03, 1
B08, Trade, 259084.983, 202, B08, S03, 1
B08, Trade, 259100.900, 202, B08, S05, 1
B08, Trade, 259108.950, 202, B08, S05, 1
B08, Trade, 259120.850, 202, B08, S02, 1
B08, Trade, 259128.117, 193, B08, S02, 1
B08, Trade, 259131.433, 200, B08, S04, 1
B08, Trade, 259137.300, 201, B08, S03, 1
B08, Trade, 259158.600, 199, B08, S02, 1
B08, Trade, 259162.550, 197, B08, S02, 1
B08, Trade, 259195.150, 202, B08, S02, 1
B09, 100
B09, Trade, 229519.717, 204, B09, S04, 1
B09, Trade, 229522.983, 204, B09, S04, 1
B09, Trade, 229533.017, 203, B09, S06, 1
B09, Trade, 229540.867, 203, B09, S02, 1
B09, Trade, 229548.700, 203, B09, S06, 1
B09, Trade, 229550.633, 204, B09, S04, 1
B09, Trade, 229567.733, 203, B09, S07, 1
B09, Trade, 229577.867, 203, B09, S03, 1
B09, Trade, 229586.533, 204, B09, S03, 1
B09, Trade, 229591.000, 204, B09, S09, 1
B09, Trade, 229594.900, 204, B09, S07, 1
B09, Trade, 229598.517, 202, B09, S04, 1
B09, Trade, 229605.783, 203, B09, S04, 1
B09, Trade, 229609.450, 203, B09, S07, 1
B09, Trade, 229620.317, 202, B09, S03, 1
B09, Trade, 229630.450, 203, B09, S00, 1
B09, Trade, 229638.633, 204, B09, S02, 1
B09, Trade, 229659.750, 200, B09, S03, 1
B09, Trade, 229663.250, 201, B09, S03, 1
B09, Trade, 229666.067, 204, B09, S02, 1
B09, Trade, 229670.583, 202, B09, S03, 1
