,0,1
1448,0.001528,
1449,0.0,
1450,0.000694,
1451,0.0,
1452,0.017361,
1453,0.016667,
1454,0.005278,
1455,0.176531,
1456,0.284728,
1457,0.165142,
1458,0.754043,
1459,0.170004,
1460,0.451815,
1461,0.996965,
1462,0.746404,
1463,1.308916,
1464,1.322944,
1465,2.739502,
1466,3.263957,
1467,3.339792,
1468,4.384397,
1469,4.130919,
1470,8.181282,
1471,,4.330368
1472,,7.417516
1473,,4.938436
1474,,6.030959
1475,,1.801843
1476,,1.684341
1477,,1.011271
1478,,2.186851
1479,,2.476302
1480,,3.729383
1481,,0.757099
1482,,2.868532
1483,,0.491677
1484,,0.051529
1485,,0.03014
1486,,0.023473
1487,,0.205699
1488,,0.439037
1489,,0.007778
1490,,0.021112
1491,,0.040556
1492,,0.054307
1493,,0.021667
1494,,0.0
1495,,0.0
1496,,0.0
1497,,0.001528
1498,,0.0
1499,,0.0
1500,0.0,
1501,0.0,
1502,0.0,
1503,0.0,
1504,0.0,
1505,0.0,
1506,0.000556,
1507,0.0,
1508,0.000556,
1509,0.0,
1510,0.0,
1511,0.001111,
1512,0.043613,
1513,0.077781,
1514,0.023057,
1515,0.261679,
1516,0.440298,
1517,0.294458,
1518,1.031714,
1519,0.584749,
1520,0.898375,
1521,0.65253,
1522,0.82226,
1523,1.129775,
1524,1.807306,
1525,3.27404,
1526,3.789898,
1527,3.45766,
1528,5.520256,
1529,4.790222,
1530,7.40062,
1531,,3.888791
1532,,6.756146
1533,,3.779064
1534,,4.515765
1535,,1.495625
1536,,1.591463
1537,,1.136164
1538,,3.922126
1539,,1.537571
1540,,0.2339
1541,,0.653364
1542,,2.122876
1543,,0.694477
1544,,0.785314
1545,,0.147785
1546,,0.172786
1547,,0.274735
1548,,0.110838
1549,,0.105005
1550,,0.000556
1551,,0.031668
1552,,0.0
1553,,0.0
1554,,0.0
1555,,0.0
1556,,0.0
1557,,0.0
1558,,0.0
1559,,0.0
1560,0.0,
1561,0.0,
1562,0.0,
1563,0.0,
1564,0.0,
1565,0.0,
1566,0.000278,
1567,0.0,
1568,0.000278,
1569,0.0,
1570,0.000556,
1571,0.000556,
1572,0.040834,
1573,0.070696,
1574,0.024723,
1575,0.260005,
1576,0.434453,
1577,0.307368,
1578,1.025855,
1579,0.596124,
1580,0.906686,
1581,0.63668,
1582,0.856823,
1583,1.176969,
1584,1.797399,
1585,3.2034,
1586,3.773273,
1587,3.588269,
1588,5.452058,
1589,4.836906,
1590,7.595158,
1591,,3.958416
1592,,6.803475
1593,,3.669104
1594,,4.467454
1595,,1.463642
1596,,1.564616
1597,,1.212525
1598,,3.972861
1599,,1.504754
1600,,0.210282
1601,,0.614735
1602,,2.109766
1603,,0.69557
1604,,0.7921
1605,,0.151531
1606,,0.182365
1607,,0.282923
1608,,0.11653
1609,,0.111252
1610,,0.002083
1611,,0.034167
1612,,0.0
1613,,0.0
1614,,0.0
1615,,0.0
1616,,0.0
1617,,0.0
1618,,0.0
1619,,0.0
1620,0.0,
1621,0.0,
1622,0.0,
1623,0.0,
1624,0.0,
1625,0.0,
1626,0.0,
1627,0.000833,
1628,0.001389,
1629,0.001667,
1630,0.019723,
1631,0.015001,
1632,0.01,
1633,0.154452,
1634,0.443909,
1635,0.128061,
1636,1.018936,
1637,0.438631,
1638,0.375851,
1639,0.775869,
1640,0.948655,
1641,1.396454,
1642,1.75397,
1643,1.626464,
1644,2.098708,
1645,3.224038,
1646,3.654058,
1647,4.290476,
1648,3.822677,
1649,4.254641,
1650,0.878374,
1651,,4.018242
1652,,5.963887
1653,,4.96273
1654,,4.015186
1655,,0.716422
1656,,1.472846
1657,,1.601185
1658,,4.42076
1659,,2.898745
1660,,2.417612
1661,,0.642808
1662,,0.438354
1663,,0.304736
1664,,0.307236
1665,,0.792537
1666,,0.39863
1667,,0.427242
1668,,0.481689
1669,,0.003056
1670,,0.015278
1671,,0.102783
1672,,0.020834
1673,,0.004167
1674,,0.000556
1675,,0.0
1676,,0.0
1677,,0.0
1678,,0.0
1679,,0.0
1680,0.0,
1681,0.0,
1682,0.0,
1683,0.0,
1684,0.0,
1685,0.0,
1686,0.0,
1687,0.001528,
1688,0.001111,
1689,0.001806,
1690,0.024584,
1691,0.011806,
1692,0.011111,
1693,0.157504,
1694,0.472372,
1695,0.120281,
1696,0.9753,
1697,0.421399,
1698,0.397509,
1699,0.7396,
1700,1.002662,
1701,1.367809,
1702,1.76643,
1703,1.666983,
1704,2.097826,
1705,3.213269,
1706,3.67453,
1707,4.3326,
1708,3.900924,
1709,4.39663,
1710,0.873631,
1711,,4.043705
1712,,5.872636
1713,,5.02845
1714,,3.887034
1715,,0.7096
1716,,1.552536
1717,,1.601704
1718,,4.416491
1719,,2.863261
1720,,2.406583
1721,,0.604736
1722,,0.440566
