B00, 0
B01, 0
B02, 0
B03, 1
B09, Trade, 857612.751, 84, B09, S01, 1
B09, Trade, 857729.134, 84, B09, S02, 1
B09, Trade, 857927.701, 84, B09, S01, 1
B09, Trade, 858024.968, 84, B09, S06, 1
B09, Trade, 858053.301, 84, B09, S01, 1
B09, Trade, 858145.718, 84, B09, S06, 1
B09, Trade, 858356.984, 84, B09, S02, 1
B09, Trade, 858465.418, 84, B09, S01, 1
B09, Trade, 858525.818, 84, B09, S00, 1
B09, Trade, 858556.968, 84, B09, S01, 1
B09, Trade, 858640.718, 84, B09, S04, 1
B09, Trade, 858683.968, 83, B09, S00, 1
B09, Trade, 858734.151, 84, B09, S01, 1
B09, Trade, 858822.868, 84, B09, S04, 1
B09, Trade, 858886.418, 84, B09, S00, 1
B09, Trade, 858907.934, 84, B09, S05, 1
B09, Trade, 858943.534, 84, B09, S05, 1
B09, Trade, 859050.651, 84, B09, S07, 1
B09, Trade, 859057.834, 84, B09, S00, 1
B09, Trade, 859321.301, 84, B09, S01, 1
B09, Trade, 859399.668, 84, B09, S04, 1
B09, Trade, 859424.684, 84, B09, S01, 1
B09, Trade, 859488.284, 83, S08, B09, 1
B09, Trade, 859686.351, 84, B09, S01, 1
B09, Trade, 859895.034, 84, B09, S08, 1
B09, Trade, 860076.401, 84, B09, S04, 1
B09, Trade, 860152.568, 84, B09, S08, 1
B09, Trade, 860289.551, 84, B09, S07, 1
B09, Trade, 860370.184, 84, B09, S05, 1
B09, Trade, 860485.084, 84, B09, S01, 1
B09, Trade, 860625.401, 84, B09, S04, 1
B09, Trade, 860774.234, 84, B09, S07, 1
B09, Trade, 860992.834, 84, B09, S01, 1
B09, Trade, 861138.834, 84, B09, S01, 1
B09, Trade, 861210.851, 84, B09, S01, 1
B09, Trade, 861228.018, 84, B09, S01, 1
B09, Trade, 861630.634, 84, B09, S04, 1
B09, Trade, 861727.701, 84, B09, S00, 1
B09, Trade, 861882.068, 84, B09, S04, 1
B09, Trade, 861896.334, 84, B09, S00, 1
B09, Trade, 862055.734, 84, B09, S07, 1
B09, Trade, 862137.701, 84, B09, S06, 1
B09, Trade, 862250.918, 84, B09, S01, 1
B09, Trade, 862351.534, 84, B09, S01, 1
B09, Trade, 862492.618, 84, B09, S01, 1
B09, Trade, 862669.251, 84, B09, S04, 1
B09, Trade, 862694.284, 84, B09, S02, 1
B09, Trade, 862769.734, 84, B09, S05, 1
B09, Trade, 862875.568, 84, B09, S04, 1
B09, Trade, 862908.084, 84, B09, S05, 1
B09, Trade, 863058.284, 84, B09, S02, 1
B09, Trade, 863117.901, 84, B09, S07, 1
B09, Trade, 863337.918, 84, B09, S07, 1
B09, Trade, 863389.768, 84, B09, S08, 1
B09, Trade, 863521.301, 84, B09, S04, 1
B09, Trade, 863551.651, 84, B09, S06, 1
B09, Trade, 863679.484, 84, B09, S02, 1
B09, Trade, 863767.618, 84, B09, S02, 1
B09, Trade, 863851.051, 84, B09, S05, 1
B09, Trade, 863952.384, 84, B09, S01, 1
B10, 100
B10, Trade, 854918.051, 87, B10, S02, 1
B10, Trade, 854932.518, 87, B10, S08, 1
B10, Trade, 854943.201, 87, B10, S04, 1
B10, Trade, 854952.768, 87, B10, S05, 1
B10, Trade, 854966.334, 87, B10, S02, 1
B10, Trade, 854968.351, 86, B10, S01, 1
B10, Trade, 854980.534, 87, B10, S07, 1
B10, Trade, 854995.484, 87, B10, S07, 1
B10, Trade, 855011.634, 87, B10, S00, 1
B10, Trade, 855020.018, 87, B10, S07, 1
B10, Trade, 855025.568, 87, B10, S01, 1
B10, Trade, 855056.034, 87, B10, S00, 1
B10, Trade, 855109.784, 87, B10, S02, 1
B10, Trade, 855126.251, 87, B10, S01, 1
B10, Trade, 855140.668, 87, B10, S01, 1
B10, Trade, 855155.151, 87, B10, S04, 1
B10, Trade, 855167.734, 86, B10, S07, 1
B10, Trade, 855195.034, 87, B10, S08, 1
B10, Trade, 855212.618, 87, B10, S08, 1
B10, Trade, 855246.834, 87, B10, S00, 1
B10, Trade, 855250.468, 87, B10, S06, 1
B10, Trade, 855291.984, 87, B10, S05, 1
B10, Trade, 855314.051, 87, B10, S07, 1
B10, Trade, 855328.068, 85, B10, S02, 1
B10, Trade, 855328.901, 86, B10, S08, 1
B10, Trade, 855337.651, 87, B10, S02, 1
B10, Trade, 855374.984, 87, B10, S04, 1
B10, Trade, 855383.534, 87, B10, S00, 1
B10, Trade, 855385.584, 85, B10, S01, 1
B10, Trade, 855399.584, 87, B10, S08, 1
B10, Trade, 855410.301, 87, B10, S01, 1
B10, Trade, 855429.768, 87, B10, S01, 1
B10, Trade, 855449.884, 87, B10, S04, 1
B10, Trade, 855451.584, 87, B10, S05, 1
B10, Trade, 855463.934, 84, B10, S04, 1
B10, Trade, 855487.284, 84, B10, S02, 1
B10, Trade, 855488.584, 83, B10, S01, 1
B10, Trade, 855498.868, 87, B10, S02, 1
B10, Trade, 855501.184, 86, B10, S08, 1
B10, Trade, 855512.551, 87, B10, S05, 1
B10, Trade, 855534.818, 87, B10, S00, 1
B10, Trade, 855553.501, 82, B10, S00, 1
B10, Trade, 855582.718, 87, B10, S01, 1
B10, Trade, 855606.718, 87, B10, S06, 1
B10, Trade, 855616.518, 87, B10, S00, 1
B10, Trade, 855631.601, 87, B10, S01, 1
B10, Trade, 855646.218, 87, B10, S02, 1
B10, Trade, 855706.801, 87, B10, S01, 1
B10, Trade, 855724.618, 87, B10, S06, 1
B10, Trade, 855743.201, 87, B10, S01, 1
B10, Trade, 855763.951, 87, B10, S04, 1
B10, Trade, 855788.834, 87, B10, S01, 1
B10, Trade, 855835.584, 87, B10, S01, 1
B10, Trade, 855861.868, 87, B10, S07, 1
B10, Trade, 855916.718, 87, B10, S09, 1
B10, Trade, 855938.601, 87, B10, S05, 1
B10, Trade, 855958.118, 87, B10, S01, 1
B10, Trade, 855979.368, 87, B10, S05, 1
